Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains,Daily Return,30-Day Rolling STD,30-Day Rolling SMA,30-Day Rolling EWMA,RSI,MACD,5D Return,21D Return
2025-04-21,438.2300109863281,439.0799865722656,427.92999267578125,433.1099853515625,431.02362060546875,44149300,0.0,0.0,0.0,,,,433.1099853515625,,0.0,,
2025-04-22,438.82000732421875,447.5799865722656,437.6199951171875,444.4800109863281,442.33892822265625,52304400,0.0,0.0,0.0,0.026252051486498118,,,438.8606710908503,,0.9070105919471416,,
2025-04-23,458.1700134277344,463.3800048828125,452.8800048828125,454.55999755859375,452.3703308105469,55801100,0.0,0.0,0.0,0.022678154974612896,,,444.215145186575,,2.4113966159958977,,
2025-04-24,456.4800109863281,467.6600036621094,455.8299865722656,467.3500061035156,465.0987243652344,45956100,0.0,0.0,0.0,0.02813711856216128,,,450.2008254009603,,4.582851913452373,,
2025-04-25,466.9700012207031,473.0899963378906,465.3900146484375,472.55999755859375,470.2835998535156,38697100,0.0,0.0,0.0,0.011147943483548639,,,454.88165214432877,,6.64752017524421,,
2025-04-28,473.0299987792969,474.80999755859375,466.0299987792969,472.4100036621094,470.13433837890625,33550800,0.0,0.0,0.0,-0.00031740709594396677,,,457.9743508238724,99.8946907179288,8.1774172185211,0.09073911856048844,
2025-04-29,470.1700134277344,476.4200134277344,469.5899963378906,475.5299987792969,473.23931884765625,30613100,0.0,0.0,0.0,0.00660442220317381,,,460.65943707825744,99.89711773144218,9.531753062704354,0.06985688225679021,
2025-04-30,467.1300048828125,477.20001220703125,462.42999267578125,475.4700012207031,473.1795959472656,46810600,0.0,0.0,0.0,-0.0001261698709813519,,,462.66387850668553,99.84946194741265,10.479432302758369,0.04600053628655254,
2025-05-01,483.4100036621094,487.17999267578125,480.739990234375,481.67999267578125,479.35968017578125,43316500,0.0,0.0,0.0,0.013060742926230606,,,464.9772430421085,99.85706259608396,11.597876241635845,0.030662215438361562,
2025-05-02,486.5400085449219,490.9100036621094,484.8299865722656,488.8299865722656,486.4752502441406,39218100,0.0,0.0,0.0,0.014843867308595105,,,467.61805159364485,99.86548387524104,12.912350336582733,0.034429467364415434,
2025-05-05,484.6000061035156,489.0299987792969,484.1000061035156,485.92999267578125,483.5892028808594,28309500,0.0,0.0,0.0,-0.00593252045935122,,,469.48166051154413,97.36001561692879,13.563721121945889,0.02861918441367739,
2025-05-06,479.55999755859375,485.04998779296875,478.19000244140625,481.4100036621094,479.09100341796875,32786300,0.0,0.0,0.0,-0.009301728812379895,,,470.60680217547804,93.42573792815644,13.558913113696008,0.012365160763583072,
2025-05-07,482.0799865722656,485.79998779296875,476.7799987792969,483.29998779296875,480.9718933105469,38006300,0.0,0.0,0.0,0.003925934476812332,,,471.7242097400443,93.54322909428339,13.551396592159108,0.016467887673592863,
2025-05-08,488.5299987792969,492.70001220703125,484.1700134277344,488.2900085449219,485.9378662109375,39577600,0.0,0.0,0.0,0.01032489318847385,,,473.0932790708815,93.85546038733128,13.789140043052043,0.013722836675074124,
