,Actual,Predicted
2026-03-02,7.04,6.098435
2026-03-03,6.84,6.3435817
2026-03-04,6.64,6.471887
2026-03-05,6.28,6.449927
2026-03-06,6.69,6.3792944
2026-03-09,7.0,6.3222637
2026-03-10,7.44,6.3399034
2026-03-11,7.44,6.406806
2026-03-12,6.8300004,6.5233774
2026-03-13,6.91,6.68045
2026-03-16,6.57,6.578959
2026-03-17,6.18,6.554513
2026-03-18,6.23,6.4368443
2026-03-19,5.93,6.2933493
2026-03-20,6.0599995,6.2224245
2026-03-23,5.7400002,6.136961
2026-03-24,6.1,6.107123
2026-03-25,5.4899993,6.0429387
2026-03-26,5.19,6.082768
2026-03-27,5.08,5.9755015
2026-03-30,5.9399996,5.869391
2026-03-31,5.6,5.797191
2026-04-01,6.11,5.9416537
2026-04-02,6.08,5.9119434
2026-04-06,5.96,6.029379
2026-04-07,6.22,6.087023
2026-04-08,6.08,6.1067057
2026-04-09,7.04,6.1170177
2026-04-10,7.3,6.11239
2026-04-13,6.7100005,6.327307
2026-04-14,6.97,6.503237
2026-04-15,7.34,6.5059886
2026-04-16,7.26,6.474121
2026-04-17,8.59,6.5514097
2026-04-20,10.25,6.544851
2026-04-21,12.77,6.989137
2026-04-22,11.72,7.557116
2026-04-23,15.100001,8.232818
2026-04-24,7.95,8.152427
2026-04-27,8.03,8.731291
2026-04-28,6.6,6.565784
2026-04-29,7.12,7.535101
2026-04-30,7.31,7.4839544
