,Actual,Predicted
2026-05-29,306.31003,288.79575
2026-06-01,315.2,289.14853
2026-06-02,310.26,287.98056
2026-06-03,311.23,288.78806
2026-06-04,307.34003,288.0482
2026-06-05,301.54,287.74313
2026-06-08,290.55,286.98642
2026-06-09,291.58,285.9411
2026-06-10,295.63,282.7923
2026-06-11,291.13,281.418
2026-06-12,296.42,280.66934
2026-06-15,299.24,279.215
2026-06-16,295.95,279.5674
2026-06-17,298.01,280.15332
2026-06-18,297.01,279.65067
2026-06-22,294.3,280.04095
2026-06-23,293.08,279.68765
2026-06-24,275.15,278.75797
2026-06-25,283.78,277.9921
2026-06-26,281.74,275.77588
2026-06-29,289.36,277.51617
2026-06-30,294.38,276.10965
2026-07-01,308.63,276.5834
2026-07-02,312.66,277.55164
2026-07-06,310.66,281.15268
2026-07-07,313.39005,282.65878
2026-07-08,316.22,283.36273
2026-07-09,315.32,284.021
2026-07-10,317.31,285.03192
2026-07-13,314.86,285.07837
2026-07-14,327.5,285.73782
2026-07-15,333.26,285.70755
2026-07-16,333.74,287.99503
2026-07-17,326.59,289.70044
2026-07-20,327.74,290.7971
2026-07-21,325.89005,290.31042
2026-07-22,321.66,290.57797
2026-07-23,333.01996,289.9129
2026-07-24,336.91,289.09143
2026-07-27,340.08,290.58484
2026-07-28,338.19,267.90137
2026-07-29,333.43,282.89148
2026-07-30,308.91,289.8708
