Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Daily Return,30-Day Rolling STD,30-Day Rolling SMA,30-Day Rolling EWMA,RSI,MACD,5D Return,21D Return,mentions,post_count,mean_sentiment,score_sum,comment_sum,weighted_sentiment,next_close,next_return,target_direction
2025-08-18,176.75999450683594,178.8000030517578,174.36000061035156,176.13999938964844,176.13999938964844,35937500,0.0,0.0,-0.00771784778087381,13.152262382795433,164.97799936930338,167.18485828922448,60.149902093207814,6.834491473650303,0.022405390281529547,0.12198224871912777,0.0,0.0,0.0,0.0,0.0,0.0,166.5500030517578,-0.05444530697809358,0
2025-08-19,173.10000610351562,173.1699981689453,166.10000610351562,166.5500030517578,166.5500030517578,64455000,0.0,0.0,-0.05444530697809358,12.111378343919924,165.9356658935547,167.15650563736116,49.885973271775185,5.664769905707857,-0.04801368415553309,0.060828044915654855,0.0,0.0,0.0,0.0,0.0,0.0,165.1999969482422,-0.008105710470002747,0
2025-08-20,164.10000610351562,166.64999389648438,158.25,165.1999969482422,165.1999969482422,60233200,0.0,0.0,-0.008105710470002747,10.9431678351917,166.82866566975912,167.07099377545518,48.62801221127669,4.576072806831974,-0.10421863903878725,0.06773523555360939,0.0,0.0,0.0,0.0,0.0,0.0,163.7100067138672,-0.009019311512710404,0
2025-08-21,165.86000061035156,165.8800048828125,162.25999450683594,163.7100067138672,163.7100067138672,37880500,0.0,0.0,-0.009019311512710404,10.096008864827118,167.48033243815104,166.927099821903,47.212928724004776,3.5520963966305317,-0.09527488546632146,0.031894188541125024,0.0,0.0,0.0,0.0,0.0,0.0,167.75999450683594,0.02473879193009454,1
2025-08-22,162.1699981689453,168.52999877929688,161.8000030517578,167.75999450683594,167.75999450683594,43998600,0.0,0.0,0.02473879193009454,9.279776190411974,168.19166564941406,166.9620602813351,51.356504604041646,3.0324318946681785,-0.05492648471477768,0.03478904243471992,0.0,0.0,0.0,0.0,0.0,0.0,163.36000061035156,-0.02622790915926676,0
2025-08-25,165.5500030517578,165.58999633789062,161.72000122070312,163.36000061035156,163.36000061035156,36134700,0.0,0.0,-0.02622790915926676,8.364565932332448,168.7623321533203,166.81370384548455,47.036667984706966,2.239733049312406,-0.07255591474725498,-0.0186820483423219,0.0,0.0,0.0,0.0,0.0,0.0,166.6199951171875,0.019955891862486697,1
2025-08-26,168.64999389648438,169.77000427246094,164.91000366210938,166.6199951171875,166.6199951171875,52138600,0.0,0.0,0.019955891862486697,8.001245702251099,169.12933197021485,166.80586938503845,50.36774985554867,1.8532052188887747,0.0004202465574734138,-0.04053903257205749,0.0,0.0,0.0,0.0,0.0,0.0,167.1300048828125,0.0030609157398324705,1
2025-08-27,166.0399932861328,167.67999267578125,164.64999389648438,167.1300048828125,167.1300048828125,37031000,0.0,0.0,0.0030609157398324705,7.827952196756717,169.3643320719401,166.81875210229705,50.888156165610106,1.5699354160268228,0.011682856962612398,-0.05810413332246367,0.0,0.0,0.0,0.0,0.0,0.0,168.5800018310547,0.008675862537423473,1
2025-08-28,168.5,170.99000549316406,166.64999389648438,168.5800018310547,168.5800018310547,36285200,0.0,0.0,0.008675862537423473,7.6456849371037245,169.63666534423828,166.88758903543726,52.41577453845235,1.4457786556268957,0.029747693589062596,-0.06088793387693536,0.0,0.0,0.0,0.0,0.0,0.0,162.6300048828125,-0.03529479703176819,0
2025-08-29,166.80999755859375,168.57000732421875,161.89999389648438,162.6300048828125,162.6300048828125,37516800,0.0,0.0,-0.03529479703176819,7.389025908057996,169.82466532389324,166.72384489292503,46.081593647584796,0.8573850992643202,-0.030579338292803793,-0.07759056698548772,0.0,0.0,0.0,0.0,0.0,0.0,162.32000732421875,-0.001906152304534059,0
