,Actual,Predicted
2026-06-15,175.39,173.86546
2026-06-16,165.95,176.40005
2026-06-17,174.96,176.30392
2026-06-18,170.44,174.69547
2026-06-22,165.63,175.39946
2026-06-23,160.72,175.4351
2026-06-24,158.02,173.65192
2026-06-25,166.94,172.22649
2026-06-26,174.39,170.92764
2026-06-29,173.58,171.45428
2026-06-30,197.76,173.00772
2026-07-01,194.67,173.90321
2026-07-02,200.86,179.41232
2026-07-06,199.44,182.27513
2026-07-07,195.31,185.20644
2026-07-08,200.31,186.55971
2026-07-09,195.34,187.16525
2026-07-10,200.93001,188.08568
2026-07-13,203.27,188.24748
2026-07-14,198.03001,189.4909
2026-07-15,185.26,190.8487
2026-07-16,181.18,191.0461
2026-07-17,181.64,187.96422
2026-07-20,185.84,185.43236
2026-07-21,170.38,183.78793
2026-07-22,168.78,183.38454
2026-07-23,168.73,180.4706
2026-07-24,179.23,178.29697
2026-07-27,178.44,176.90776
2026-07-28,177.99,178.20795
2026-07-29,178.04,178.53922
2026-07-30,140.67,179.16231
2026-07-31,154.71,179.52934
2026-08-03,159.97,172.2617
2026-08-04,155.26,169.19298
2026-08-05,150.87,168.28215
2026-08-06,161.7,167.18893
2026-08-07,158.72,165.89896
2026-08-10,156.19,168.44325
2026-08-11,153.45,168.32912
2026-08-12,158.12,167.62102
2026-08-13,178.09,166.81898
2026-08-14,164.5,151.59549
