Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Daily Return,30-Day Rolling STD,30-Day Rolling SMA,30-Day Rolling EWMA,RSI,MACD,5D Return,21D Return,mentions,post_count,mean_sentiment,score_sum,comment_sum,weighted_sentiment,next_close,next_return,target_direction
2025-09-15,508.7900085449219,515.469970703125,507.0,515.3599853515625,512.1166381835938,17143800,0.0,0.0,0.010707965327386493,10.526012214855221,511.852333577474,510.26566381185586,43.49539724161832,-4.294659502591742,0.034443943645268815,-0.013627307042079817,0.0,0.0,0.0,0.0,0.0,0.0,509.0400085449219,-0.012263227620067041,0
2025-09-16,516.8800048828125,517.22998046875,508.6000061035156,509.0400085449219,505.83642578125,19711900,0.0,0.0,-0.012263227620067041,9.525973782188057,510.9656667073568,510.2109260148952,39.05450511919244,-3.7331550216282494,0.02132783211554279,-0.021396802450934116,0.0,0.0,0.0,0.0,0.0,0.0,510.0199890136719,0.001925154118143313,1
2025-09-17,510.6199951171875,511.2900085449219,505.92999267578125,510.0199890136719,506.81024169921875,15816600,0.0,0.0,0.001925154118143313,8.983285509297438,510.3746663411458,510.20258085467583,40.076180730774716,-3.1725117011824295,0.01928571655105804,-0.013691717088640587,0.0,0.0,0.0,0.0,0.0,0.0,508.45001220703125,-0.003078265245401113,0
2025-09-18,511.489990234375,513.0700073242188,507.6600036621094,508.45001220703125,505.2501525878906,18913700,0.0,0.0,-0.003078265245401113,8.555648311616256,509.825,510.1275481256114,38.949669072772636,-2.8223475720047304,0.014850007577466906,-0.0025893576222377757,0.0,0.0,0.0,0.0,0.0,0.0,517.9299926757812,0.01864486230927631,1
2025-09-19,510.55999755859375,519.2999877929688,510.30999755859375,517.9299926757812,514.6704711914062,52474100,0.0,0.0,0.01864486230927631,8.442201534954126,509.7279988606771,510.4550529723849,48.3843947585925,-1.7596011932670876,0.015748183713308883,0.024143778030542018,0.0,0.0,0.0,0.0,0.0,0.0,514.4500122070312,-0.0067190170833154594,0
2025-09-22,515.5900268554688,517.739990234375,512.5399780273438,514.4500122070312,511.21240234375,20009300,0.0,0.0,-0.0067190170833154594,8.16984480982955,509.475,510.61959158849805,45.59861393782996,-1.1845179858570418,-0.001765703916477901,0.020248338430893797,0.0,0.0,0.0,0.0,0.0,0.0,509.2300109863281,-0.010146760806378219,0
2025-09-23,513.7999877929688,514.5900268554688,507.30999755859375,509.2300109863281,506.0252685546875,19799600,0.0,0.0,-0.010146760806378219,7.832944021960223,509.0569997151693,510.56339063999104,41.718464696883004,-1.1368657926904007,0.00037325640070884347,0.00394298435952356,0.0,0.0,0.0,0.0,0.0,0.0,510.1499938964844,0.0018066156556137969,1
2025-09-24,510.3800048828125,512.47998046875,506.9200134277344,510.1499938964844,506.9394226074219,13533700,0.0,0.0,0.0018066156556137969,6.850595948888905,508.42066650390626,510.54696024776683,42.644789945647034,-1.013186767687671,0.0002549015442785407,0.011680450594519609,0.0,0.0,0.0,0.0,0.0,0.0,507.0299987792969,-0.0061158387817614734,0
2025-09-25,508.29998779296875,510.010009765625,505.0400085449219,507.0299987792969,503.83905029296875,15786500,0.0,0.0,-0.0061158387817614734,6.456628059245674,507.968999226888,510.4095028290325,40.30513538735316,-1.1536294581000561,-0.0027928279941827894,0.009939427434952242,0.0,0.0,0.0,0.0,0.0,0.0,511.4599914550781,0.00873714116807034,1
2025-09-26,510.05999755859375,513.9400024414062,506.6199951171875,511.4599914550781,508.2411804199219,16213100,0.0,0.0,0.00873714116807034,5.891325522182602,507.60166625976564,510.44990399390076,44.92543965442522,-0.8971264014309668,-0.012492038136809103,0.009314443919296922,0.0,0.0,0.0,0.0,0.0,0.0,514.5999755859375,0.006139256605245391,1
2025-09-29,511.5,516.8499755859375,508.8800048828125,514.5999755859375,511.3613586425781,17617800,0.0,0.0,0.006139256605245391,5.5600277839436005,507.41599934895834,510.6070586113138,47.997748564024185,-0.43545574087886507,0.0002915023332643596,0.009732283170350131,0.0,0.0,0.0,0.0,0.0,0.0,517.9500122070312,0.006509982083227506,1
2025-09-30,513.239990234375,518.1599731445312,509.6600036621094,517.9500122070312,514.6903686523438,19728200,0.0,0.0,0.006509982083227506,5.612993870493142,507.4443339029948,510.8810042317787,51.13004302716503,0.1984538887677445,0.017123894964111264,0.02222267996481153,0.0,0.0,0.0,0.0,0.0,0.0,519.7100219726562,0.0033980301653540046,1
2025-10-01,514.7999877929688,520.510009765625,511.69000244140625,519.7100219726562,516.4392700195312,22632300,0.0,0.0,0.0033980301653540046,6.032699008449393,507.7756683349609,511.2056935022183,52.74060987466452,0.8332447891530705,0.018739641655492578,0.02888427897629331,0.0,0.0,0.0,0.0,0.0,0.0,515.739990234375,-0.007638936272985952,0
