,Actual,Predicted
2026-07-08,401.11,379.9352
2026-07-09,399.97,383.9772
2026-07-10,384.05,388.6276
2026-07-13,389.10995,391.31223
2026-07-14,394.28,389.91562
2026-07-15,374.45,389.94263
2026-07-16,370.83,389.57275
2026-07-17,378.16003,383.78525
2026-07-20,386.5,377.95456
2026-07-21,396.81003,375.87936
2026-07-22,392.47,375.94006
2026-07-23,381.92004,378.23557
2026-07-24,383.22,379.67505
2026-07-27,380.91,378.5205
2026-07-28,370.32,378.0461
2026-07-29,387.84,377.42807
2026-07-30,389.28,374.75153
2026-07-31,392.22998,376.878
2026-08-03,418.16,378.56372
2026-08-04,418.28,379.81888
2026-08-05,420.57004,386.11865
2026-08-06,427.76,390.5367
2026-08-07,422.4,393.42075
2026-08-10,416.08,397.22238
2026-08-11,416.05,398.6466
2026-08-12,417.82,398.2706
2026-08-13,392.99,398.78632
2026-08-14,392.43,399.48566
2026-08-17,380.0,394.68793
2026-08-18,362.48,392.22424
2026-08-19,364.03,387.9567
2026-08-20,368.45,382.1166
2026-08-21,358.76,378.40244
2026-08-24,356.74,377.28058
2026-08-25,355.59,374.54416
2026-08-26,371.54,372.72562
2026-08-27,368.79,371.53348
2026-08-28,370.34,374.05612
2026-08-31,369.68,374.4127
2026-09-01,367.24,375.31906
2026-09-02,357.16,375.57935
2026-09-03,357.9,294.17926
