,Actual,Predicted
2026-07-17,696.06,720.3726
2026-07-20,708.97,716.3069
2026-07-21,705.35,714.86145
2026-07-22,691.96,714.9478
2026-07-23,684.23,714.2536
2026-07-24,682.12,712.1831
2026-07-27,675.49,710.3049
2026-07-28,661.73,708.5516
2026-07-29,683.55,705.8924
2026-07-30,687.99,701.8814
2026-07-31,700.07,703.6865
2026-08-03,723.85,705.15704
2026-08-04,717.3,707.85913
2026-08-05,714.65,713.4373
2026-08-06,723.03,716.6932
2026-08-07,720.87,717.61774
2026-08-10,718.45,720.79
2026-08-11,723.7,722.3229
2026-08-12,732.07,722.8202
2026-08-13,731.07,725.2136
2026-08-14,729.87,728.48596
2026-08-17,717.51,730.5763
2026-08-18,716.08,732.58405
2026-08-19,710.93,731.6566
2026-08-20,713.44,731.2767
2026-08-21,706.32,729.54456
2026-08-24,710.72,729.4383
2026-08-25,711.37,727.91345
2026-08-26,721.11,728.6402
2026-08-27,716.43,728.5973
2026-08-28,716.76,730.9808
2026-08-31,707.64,730.74634
2026-09-01,709.24,731.27893
2026-09-02,717.67,729.09204
2026-09-03,718.96,728.17993
2026-09-04,718.36,728.60297
2026-09-08,716.31,729.3152
2026-09-09,708.69,729.29285
2026-09-10,714.88,728.8537
2026-09-11,709.18,725.37256
2026-09-14,704.54,647.1421
2026-09-15,704.72,604.96387
