ticker,rows,rmse,result_csv,chart_png
HTZ,501,1.3911733082131796,/home/runner/work/Project2-Sentiment-analysis-WSbets/Project2-Sentiment-analysis-WSbets/outputs/latest_wsb_analysis/prices/htz_pytorch_lstm_results.csv,/home/runner/work/Project2-Sentiment-analysis-WSbets/Project2-Sentiment-analysis-WSbets/outputs/latest_wsb_analysis/charts/htz_pytorch_lstm.png
SPY,501,76.19157277362602,/home/runner/work/Project2-Sentiment-analysis-WSbets/Project2-Sentiment-analysis-WSbets/outputs/latest_wsb_analysis/prices/spy_pytorch_lstm_results.csv,/home/runner/work/Project2-Sentiment-analysis-WSbets/Project2-Sentiment-analysis-WSbets/outputs/latest_wsb_analysis/charts/spy_pytorch_lstm.png
