Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains,Daily Return,30-Day Rolling STD,30-Day Rolling SMA,30-Day Rolling EWMA,RSI,MACD,5D Return,21D Return,mentions,post_count,mean_sentiment,score_sum,comment_sum,weighted_sentiment,next_close,next_return,target_direction
2025-10-29,635.5900268554688,637.010009765625,630.25,635.77001953125,633.4562377929688,67422800,0.0,0.0,0.0,0.004502996742162146,10.91281999303232,605.8269978841146,607.4382012416033,74.3014023677567,7.4851330350848,0.050009132744133655,0.0589636802338076,0.0,0.0,0.0,0.0,0.0,0.0,626.0499877929688,-0.015288597196589704,0
2025-10-30,632.1699829101562,633.5,625.9400024414062,626.0499877929688,623.7715454101562,61628600,0.0,0.0,0.0,-0.015288597196589704,11.326950334789725,606.8513305664062,608.2694041261395,64.83995827167143,7.6271370489210994,0.025336516541858423,0.03779525535510775,0.0,0.0,0.0,0.0,0.0,0.0,629.0700073242188,0.004823927146611062,1
2025-10-31,634.1699829101562,634.2000122070312,626.6900024414062,629.0700073242188,626.7806396484375,66305100,0.0,0.0,0.0,0.004823927146611062,11.931775754225624,607.8419982910157,609.1785226586192,66.27682226037464,7.89238805314983,0.019397232558493682,0.03853206479462501,0.0,0.0,0.0,0.0,0.0,0.0,632.0800170898438,0.0047848565828598755,1
2025-11-03,635.1099853515625,635.8200073242188,629.8499755859375,632.0800170898438,629.7796020507812,37154300,0.0,0.0,0.0,0.0047848565828598755,12.668913849177516,608.8379984537761,610.1590044383989,67.69389991272548,8.250378786448437,0.006352576961539791,0.04791277025926943,0.0,0.0,0.0,0.0,0.0,0.0,619.25,-0.020298090024921778,0
2025-11-04,623.280029296875,626.9500122070312,618.4600219726562,619.25,616.9962768554688,63830800,0.0,0.0,0.0,-0.020298090024921778,12.642311175692857,609.5396647135417,610.5405957575397,56.747825506765324,7.413357299256745,-0.021598279844636692,0.01898928372101616,0.0,0.0,0.0,0.0,0.0,0.0,623.280029296875,0.006507919736576495,1
2025-11-05,618.489990234375,626.5999755859375,617.2100219726562,623.280029296875,621.01171875,48688500,0.0,0.0,0.0,0.006507919736576495,12.619853162898377,610.4456665039063,611.065289162781,58.99095413291727,6.994572348082215,-0.01964545330964773,0.03104997308237678,0.0,0.0,0.0,0.0,0.0,0.0,611.6699829101562,-0.018627335773642728,0
2025-11-06,621.7899780273438,622.0399780273438,610.2999877929688,611.6699829101562,609.4439086914062,72115100,0.0,0.0,0.0,-0.018627335773642728,12.209312010110574,611.0503316243489,611.0897457233473,50.81483540278505,5.660596707645027,-0.02296941963613275,0.000376129248710777,0.0,0.0,0.0,0.0,0.0,0.0,609.739990234375,-0.0031552842704474227,0
2025-11-07,608.3099975585938,609.9500122070312,598.6699829101562,609.739990234375,607.5209350585938,81835400,0.0,0.0,0.0,-0.0031552842704474227,11.877145474660027,611.5093322753906,611.0360998917365,49.58452605245038,4.396991343335458,-0.03072792672482505,-0.0015720025437477858,0.0,0.0,0.0,0.0,0.0,0.0,623.22998046875,0.022124168416753687,1
2025-11-10,618.9199829101562,624.3099975585938,616.8900146484375,623.22998046875,620.9618530273438,55919900,0.0,0.0,0.0,0.022124168416753687,11.810259102974173,612.3259989420573,611.5126872423511,57.35628756659114,4.433003554173183,-0.014001449787702791,0.05721794820822734,0.0,0.0,0.0,0.0,0.0,0.0,621.5700073242188,-0.0026635001469004216,0
2025-11-11,620.5700073242188,622.719970703125,617.52001953125,621.5700073242188,619.307861328125,44868800,0.0,0.0,0.0,-0.0026635001469004216,11.703976181454191,613.032666015625,611.8994857632356,56.20805909851482,4.278280180146908,0.0037464793285728604,0.03249115004949643,0.0,0.0,0.0,0.0,0.0,0.0,621.0800170898438,-0.0007883106144138674,0
2025-11-12,624.8400268554688,624.8599853515625,617.8099975585938,621.0800170898438,618.8196411132812,47444400,0.0,0.0,0.0,-0.0007883106144138674,11.642625335699,613.6269999186198,612.2471334739522,55.85262270475586,4.069215293707202,-0.0035297331915368213,0.03859534630408645,0.0,0.0,0.0,0.0,0.0,0.0,608.4000244140625,-0.02041603710773876,0
2025-11-13,617.5399780273438,618.1199951171875,606.0800170898438,608.4000244140625,606.1858520507812,71333600,0.0,0.0,0.0,-0.02041603710773876,11.590263058851027,613.7160013834635,612.1036083018714,47.48444436922645,2.8475358069049435,-0.005345952208634097,0.010262120174663103,0.0,0.0,0.0,0.0,0.0,0.0,608.8599853515625,0.0007560172896821094,1
2025-11-14,599.5499877929688,613.3499755859375,597.1699829101562,608.8599853515625,606.6441040039062,80087300,0.0,0.0,0.0,0.0007560172896821094,11.457853408337305,613.9053344726562,611.9843232805672,47.79002615352047,1.8946210039184734,-0.0014432461326249202,0.014783571828794306,0.0,0.0,0.0,0.0,0.0,0.0,603.6599731445312,-0.00854057144850584,0
2025-11-17,606.2999877929688,612.47998046875,599.8699951171875,603.6599731445312,601.4630737304688,63850400,0.0,0.0,0.0,-0.00854057144850584,11.556799022383212,613.770332845052,611.682400639547,44.62834292707372,0.7116284209162131,-0.03140094016256978,-0.0004471040261697645,0.0,0.0,0.0,0.0,0.0,0.0,596.3099975585938,-0.012175688157110454,0
2025-11-18,599.6199951171875,602.3099975585938,591.3400268554688,596.3099975585938,594.1397094726562,83327300,0.0,0.0,0.0,-0.012175688157110454,11.875934649886155,613.4969991048177,611.1322350259068,40.545266893337185,-0.8096501842563839,-0.04063904221242298,-0.02490430882029604,0.0,0.0,0.0,0.0,0.0,0.0,599.8699951171875,0.005970045065769591,1
2025-11-19,597.0700073242188,606.1599731445312,594.5900268554688,599.8699951171875,597.6868286132812,73111500,0.0,0.0,0.0,0.005970045065769591,12.130182822435389,613.1113321940104,610.7343213988985,43.253370432148934,-1.7083199393698578,-0.03415022443008031,-0.018826277722038376,0.0,0.0,0.0,0.0,0.0,0.0,585.6699829101562,-0.023671816097848297,0
2025-11-20,611.6199951171875,614.030029296875,584.75,585.6699829101562,583.5384521484375,117743200,0.0,0.0,0.0,-0.023671816097848297,13.122011644146404,612.2769978841146,609.8596823880307,36.17530281801441,-3.5257024028900332,-0.037360356002281714,-0.032733831514781486,0.0,0.0,0.0,0.0,0.0,0.0,590.0700073242188,0.007512805065062578,1
2025-11-21,587.469970703125,596.97998046875,580.739990234375,590.0700073242188,587.9224853515625,103344200,0.0,0.0,0.0,0.007512805065062578,13.088263319531373,612.2959981282552,609.1773329547841,39.480094186465266,-4.558399509051696,-0.030860917911191388,-0.03359102687863935,0.0,0.0,0.0,0.0,0.0,0.0,605.1599731445312,0.02557317883134025,1
2025-11-24,595.280029296875,606.6799926757812,595.1599731445312,605.1599731445312,602.9575805664062,60168100,0.0,0.0,0.0,0.02557317883134025,13.015331832487187,612.4009969075521,609.0404079099449,49.195769930500255,-4.111787153466253,0.002484842571532919,-0.019348570594366343,0.0,0.0,0.0,0.0,0.0,0.0,608.8900146484375,0.006163728054458417,1
2025-11-25,603.510009765625,610.260009765625,597.3200073242188,608.8900146484375,606.674072265625,57560900,0.0,0.0,0.0,0.006163728054458417,12.748971861779053,612.7639973958334,609.0353389964731,51.27791380583012,-3.4174660466022715,0.0210964383313188,-0.030568885647103916,0.0,0.0,0.0,0.0,0.0,0.0,614.27001953125,0.008835758106361391,1
2025-11-26,612.510009765625,616.1900024414062,610.3900146484375,614.27001953125,612.034423828125,42393600,0.0,0.0,0.0,0.008835758106361391,12.5942018729169,613.1656656901042,609.2098745055998,54.19391517584358,-2.4053626127198413,0.024005242021230666,-0.029466542189352296,0.0,0.0,0.0,0.0,0.0,0.0,619.25,0.008107152083623115,1
2025-11-28,616.1099853515625,619.3200073242188,615.4199829101562,619.25,616.9962768554688,23034400,0.0,0.0,0.0,0.008107152083623115,12.388620294723916,613.807666015625,609.5411547418411,56.7728933601388,-1.1877291429376555,0.05733607333431512,-0.02598426950586652,0.0,0.0,0.0,0.0,0.0,0.0,617.1699829101562,-0.0033589294951049675,0
2025-12-01,613.6300048828125,619.4400024414062,612.52001953125,617.1699829101562,614.923828125,40957600,0.0,0.0,0.0,-0.0033589294951049675,12.259764540372045,614.2489990234375,609.790342065177,55.3706352873118,-0.38613472058375464,0.045926712507940115,-0.014184178669370162,0.0,0.0,0.0,0.0,0.0,0.0,622.0,0.00782607259521706,1
2025-12-02,619.4600219726562,623.75,617.5900268554688,622.0,619.7362670898438,54541800,0.0,0.0,0.0,0.00782607259521706,12.328611415645183,614.597666422526,610.1852773848574,57.96687645835056,0.6315960017675479,0.027827397056623848,-0.011238824362794553,0.0,0.0,0.0,0.0,0.0,0.0,623.52001953125,0.0024437613042604944,1
2025-12-03,619.6199951171875,624.219970703125,618.030029296875,623.52001953125,621.250732421875,47841600,0.0,0.0,0.0,0.0024437613042604944,12.418267270055075,615.0023335774739,610.6125432016167,58.7795612311266,1.5430208208972545,0.02402733585844663,-0.013542585316974276,0.0,0.0,0.0,0.0,0.0,0.0,622.9400024414062,-0.000930230099556062,0
2025-12-04,624.9299926757812,624.9400024414062,619.5399780273438,622.9400024414062,620.6729125976562,47067800,0.0,0.0,0.0,-0.000930230099556062,12.365914374640617,615.5840006510417,611.0039327337645,58.316225101182624,2.19324664272483,0.014114286282069122,0.005958825097143627,0.0,0.0,0.0,0.0,0.0,0.0,625.47998046875,0.004077403951245895,1
2025-12-05,624.3800048828125,628.9199829101562,623.7100219726562,625.47998046875,623.20361328125,53614200,0.0,0.0,0.0,0.004077403951245895,12.456890600321103,616.0806660970052,611.4594800361515,59.81025381237342,2.880307893999202,0.010060525585385616,0.0035296352657998575,0.0,0.0,0.0,0.0,0.0,0.0,624.280029296875,-0.001918448566452513,0
2025-12-08,627.2100219726562,628.8400268554688,621.6900024414062,624.280029296875,622.0079956054688,43462400,0.0,0.0,0.0,-0.001918448566452513,12.545808072308406,616.3200012207031,611.8594788013547,58.73913475968805,3.2900571239476903,0.011520402131666607,0.020615767879802904,0.0,0.0,0.0,0.0,0.0,0.0,625.0499877929688,0.0012333543601594776,1
2025-12-09,623.010009765625,625.8699951171875,621.0,625.0499877929688,622.775146484375,37156000,0.0,0.0,0.0,0.0012333543601594776,12.459441519403464,616.2186665852864,612.2676083669376,59.24350258905451,3.6350133850038446,0.004903517352039755,0.02510905927739593,0.0,0.0,0.0,0.0,0.0,0.0,627.6099853515625,0.004095668520261997,1
