,Actual,Predicted
2026-06-11,127.99,141.29112
2026-06-12,134.71,140.81781
2026-06-15,133.25,140.23355
2026-06-16,130.63,140.61034
2026-06-17,128.47,140.47952
2026-06-18,119.5,139.99516
2026-06-22,116.7,139.42024
2026-06-23,113.5,137.76701
2026-06-24,107.27,136.13708
2026-06-25,112.93001,134.8729
2026-06-26,115.7,133.44843
2026-06-29,116.67,133.06848
2026-06-30,125.729996,132.88939
2026-07-01,129.3,132.61949
2026-07-02,132.54,133.44951
2026-07-06,134.37,134.33307
2026-07-07,132.22,135.05716
2026-07-08,129.04,135.86676
2026-07-09,126.78999,136.15941
2026-07-10,130.04,135.84769
2026-07-13,133.72,135.55876
2026-07-14,133.76,135.8924
2026-07-15,134.44,136.46324
2026-07-16,132.38,136.64624
2026-07-17,134.85,136.93007
2026-07-20,132.66,136.96037
2026-07-21,124.57,137.29138
2026-07-22,123.37,137.21729
2026-07-23,122.92,136.39348
2026-07-24,131.53,135.70288
2026-07-27,123.52999,135.31317
2026-07-28,123.0,136.43312
2026-07-29,122.259995,135.849
2026-07-30,123.06,135.23552
2026-07-31,125.65,134.72969
2026-08-03,162.65999,134.37955
2026-08-04,158.43,134.54106
2026-08-05,155.92,139.29909
2026-08-06,172.00998,141.32895
2026-08-07,175.23,142.47386
2026-08-10,174.94,142.20367
2026-08-11,171.04,147.87796
2026-08-12,179.01,133.45288
