Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Daily Return,30-Day Rolling STD,30-Day Rolling SMA,30-Day Rolling EWMA,RSI,MACD,5D Return,21D Return,mentions,post_count,mean_sentiment,score_sum,comment_sum,weighted_sentiment,next_close,next_return,target_direction
2025-08-07,10.119999885559082,10.149999618530273,9.899999618530273,9.960000038146973,9.316549301147461,11562600,0.0,0.0,-0.007968119921316186,0.6438970049407294,10.770333353678385,10.655949800449104,32.13163681947519,-0.36946877070384687,0.011167477402760584,-0.1130898981173466,0.0,0.0,0.0,0.0,0.0,0.0,10.09000015258789,0.013052220275403092,1
2025-08-08,10.010000228881836,10.350000381469727,9.920000076293945,10.09000015258789,9.438152313232422,13788200,0.0,0.0,0.013052220275403092,0.6279345025783609,10.715000025431316,10.630674474058154,35.456590924849635,-0.34950695044275903,0.013052220275403092,-0.10628873457216392,0.0,0.0,0.0,0.0,0.0,0.0,10.300000190734863,0.02081268929347946,1
2025-08-11,10.09000015258789,10.449999809265137,10.079999923706055,10.300000190734863,9.6345853805542,10527700,0.0,0.0,0.02081268929347946,0.6113870500393919,10.67300001780192,10.61622190668206,40.52544515916335,-0.3131322226886688,0.04887988908631402,-0.06533577469332708,0.0,0.0,0.0,0.0,0.0,0.0,10.109999656677246,-0.018446653450407524,0
2025-08-12,10.329999923706055,10.369999885559082,10.010000228881836,10.109999656677246,9.456857681274414,8225800,0.0,0.0,-0.018446653450407524,0.6029178068583553,10.629333337148031,10.594549011311003,37.64484151058772,-0.2962217837441763,0.016080386982834094,-0.07247706325695713,0.0,0.0,0.0,0.0,0.0,0.0,10.40999984741211,0.02967361037808991,1
2025-08-13,10.109999656677246,10.449999809265137,9.970000267028809,10.40999984741211,9.737478256225586,7168300,0.0,0.0,0.02967361037808991,0.5556511042106993,10.58033332824707,10.586802625514057,44.36880703397011,-0.25566547837298614,0.03685257838295786,-0.009514783947855876,0.0,0.0,0.0,0.0,0.0,0.0,10.550000190734863,0.013448640285768754,1
2025-08-14,10.300000190734863,10.609999656677246,10.25,10.550000190734863,9.86843490600586,5723400,0.0,0.0,0.013448640285768754,0.5168827877114277,10.543333339691163,10.585286859937366,47.22865850508077,-0.20980890998664314,0.059236962884355426,0.009569414669373,0.0,0.0,0.0,0.0,0.0,0.0,10.569999694824219,0.0018956875571356502,1
2025-08-15,10.579999923706055,10.729999542236328,10.489999771118164,10.569999694824219,9.887142181396484,7255900,0.0,0.0,0.0018956875571356502,0.47034455197644665,10.50633331934611,10.584668577573607,47.64273148899643,-0.16989501237783067,0.047571807232650754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.680000305175781,0.010406869775542837,1
2025-08-18,10.569999694824219,10.729999542236328,10.470000267028809,10.680000305175781,9.990035057067871,6100800,0.0,0.0,0.010406869775542837,0.44732676170040836,10.485666656494141,10.588457522940299,49.968071969244946,-0.12791233721607043,0.03689321431107717,0.02005730972216746,0.0,0.0,0.0,0.0,0.0,0.0,10.579999923706055,-0.009363331330736413,0
2025-08-19,10.720000267028809,10.84000015258789,10.550000190734863,10.579999923706055,9.89649486541748,5529200,0.0,0.0,-0.009363331330736413,0.421331186152774,10.461999988555908,10.588126964937361,47.88593733260534,-0.10153947585653533,0.046488653114680645,0.02519382137309889,0.0,0.0,0.0,0.0,0.0,0.0,10.270000457763672,-0.02930051684100521,0
2025-08-20,10.539999961853027,10.539999961853027,10.140000343322754,10.270000457763672,9.606523513793945,7437600,0.0,0.0,-0.02930051684100521,0.39672798151912897,10.430000019073486,10.575892009558864,42.038005620439364,-0.10444913474282913,-0.013448548674401817,-0.05258299693733304,0.0,0.0,0.0,0.0,0.0,0.0,10.350000381469727,0.007789670899729817,1
