,Actual,Predicted
2026-06-12,260.07,234.24216
2026-06-15,265.1,233.94736
2026-06-16,280.91,237.65718
2026-06-17,286.69,240.35435
2026-06-18,283.61,246.83005
2026-06-22,275.25,252.65526
2026-06-23,259.66,255.92136
2026-06-24,256.63,256.1042
2026-06-25,240.30002,254.60493
2026-06-26,261.15,253.33853
2026-06-29,276.17004,249.92654
2026-06-30,229.18,251.8967
2026-07-01,215.62,255.00725
2026-07-02,213.02002,248.75113
2026-07-06,195.19002,243.57457
2026-07-07,216.48,239.27968
2026-07-08,216.20001,232.72165
2026-07-09,219.65001,232.48573
2026-07-10,210.51,232.02975
2026-07-13,194.09001,231.364
2026-07-14,199.51,229.06291
2026-07-15,171.77,225.73457
2026-07-16,177.71,223.55423
2026-07-17,182.62,217.84341
2026-07-20,216.92,215.70615
2026-07-21,218.16002,214.2792
2026-07-22,220.97,219.88997
2026-07-23,187.77,222.01477
2026-07-24,187.88,225.43874
2026-07-27,169.69,221.80533
2026-07-28,148.22,220.8761
2026-07-29,188.43,217.12234
2026-07-30,190.41,212.3278
2026-07-31,212.58,215.89339
2026-08-03,225.74002,216.99168
2026-08-04,218.99002,220.10396
2026-08-05,189.88,223.27338
2026-08-06,187.97,223.50542
2026-08-07,184.11,216.07338
2026-08-10,193.23001,212.11406
2026-08-11,259.2,207.38234
2026-08-12,255.04001,204.8853
2026-08-13,277.68,141.85353
