date,close,volume,mentions,sentiment,ticker_sent,pct_ch,up_neu_dn
2021-03-29,181.08,9588129,238.0,168.66989999999984,38.576100000000004,0.006111790198911171,0
2021-03-30,193.98,16227358,336.0,259.0418000000002,43.645900000000005,0.07123923127899268,1
2021-03-31,190.2,7924162,337.0,262.98260000000033,60.38889999999997,-0.019486545004639644,-1
2021-04-01,190.6,8992984,420.0,391.6398999999995,77.61269999999995,0.002103049421661396,0
2021-04-05,186.1239,12245318,264.0,243.5886000000001,48.796599999999955,-0.02348426023084993,-1
2021-04-06,184.4,5861231,187.0,211.44330000000008,21.143599999999996,-0.009262109809648256,0
2021-04-07,177.73,4429913,225.0,255.56300000000002,35.83010000000001,-0.036171366594360155,-1
2021-04-08,170.24,9077021,281.0,268.8948000000003,51.1844,-0.04214257581725078,-1
2021-04-09,158.32,9196674,283.0,256.1074000000004,51.61719999999998,-0.07001879699248126,-1
2021-04-14,167.0,20701021,215.0,166.61920000000035,11.3872,0.18675383740761808,1
2021-04-15,156.32,7529149,239.0,273.24910000000017,50.008700000000005,-0.06395209580838324,-1
2021-04-16,154.68,4817053,333.0,338.9479999999997,55.442599999999956,-0.010491299897645745,-1
2021-04-19,164.4,9584331,235.0,222.2170000000002,47.700700000000005,0.06283941039565555,1
2021-04-20,158.6,4414300,129.0,218.58379999999994,18.458899999999996,-0.035279805352798066,-1
2021-04-21,158.4,3665146,106.0,218.3975,11.680799999999996,-0.0012610340479192184,0
2021-04-22,151.13,4214978,162.0,214.57300000000038,20.830899999999993,-0.045896464646464685,-1
2021-04-23,151.2,3878079,140.0,198.45710000000034,23.024099999999997,0.0004631773969430153,0
2021-04-26,168.8,8684468,190.0,298.0153000000005,27.71369999999999,0.1164021164021165,1
2021-04-27,178.0,8406485,188.0,347.87959999999975,31.112,0.05450236966824629,1
2021-04-28,178.91,5616007,146.0,253.5286000000001,32.670500000000004,0.005112359550561774,0
2021-04-29,176.06,3630589,119.0,267.7181000000002,17.2686,-0.015929797104689447,-1
2021-04-30,173.6,4217728,131.0,201.6267,19.872300000000003,-0.013972509371805164,-1
2021-05-03,162.19,4931852,121.0,203.6405000000004,25.358900000000002,-0.06572580645161286,-1
2021-05-04,161.0,3862747,138.0,165.77690000000027,25.860200000000003,-0.007337073802330618,0
2021-05-05,159.49,2668269,207.0,231.58670000000023,13.529699999999998,-0.009378881987577636,0
2021-05-06,161.0,2828762,1411.0,286.64639999999986,32.912600000000005,0.009467678224340137,0
2021-05-07,161.08,2821271,137.0,231.8338000000001,21.628399999999996,0.0004968944099379424,0
2021-05-10,143.01,4653507,125.0,189.80470000000005,24.8544,-0.1121802830891484,-1
2021-05-11,146.78,4326434,121.0,204.5863,15.708900000000005,0.026361792881616664,1
2021-05-12,144.51,2605449,112.0,208.85710000000012,22.8633,-0.015465322250987956,-1
2021-05-13,164.999,8604101,126.0,204.8719,16.652,0.1417825756003046,1
2021-05-14,159.9,4121086,129.0,198.25100000000012,24.225300000000015,-0.030903217595258048,-1
2021-05-17,180.505,7193150,85.0,183.6653000000002,13.610900000000003,0.12886178861788622,1
2021-05-18,180.574,7540252,145.0,159.2184999999999,17.744500000000002,0.00038226087920012475,0
2021-05-19,168.839,4603845,103.0,164.68899999999996,20.5943,-0.06498720746065334,-1
2021-05-20,170.45,2385704,87.0,179.69509999999985,22.921999999999997,0.009541634338037897,0
2021-05-21,176.76,3562473,99.0,143.3199,13.270699999999998,0.03701965385743611,1
2021-05-24,180.04,4575003,71.0,131.1089999999998,8.676599999999999,0.018556234442181463,1
2021-05-25,209.29,14204603,185.0,143.66799999999986,18.256900000000005,0.1624638969117973,1
