date,open,high,low,close,volume,mentions,sentiment,stock
2021-01-28,265.0,483.0,112.25,197.44,46894357,656.0,29.927199999999953,GME
2021-01-29,379.71,413.98,250.0,328.24,44002649,6254.0,-125.70060000000007,GME
2021-02-01,316.56,322.0,212.0,227.0,32080874,905.0,149.08549999999985,GME
2021-02-02,140.76,158.0,74.2201,90.47,71418097,964.0,141.51589999999976,GME
2021-02-03,112.01,113.3999,85.25,92.0431,37591533,1438.0,226.24740000000023,GME
2021-02-04,91.19,91.5,53.33,53.378,59040312,985.0,238.79809999999983,GME
2021-02-05,54.04,95.0,51.09,63.7601,76267482,1538.0,264.2901,GME
2021-02-08,72.41,72.66,58.02,59.9599,23719387,268.0,68.26310000000002,GME
2021-02-09,56.61,57.0,46.52,50.32,24854067,125.0,48.82799999999997,GME
2021-02-10,50.77,62.83,46.55,51.19,35107387,309.0,67.9687,GME
2021-02-11,50.01,55.32,48.2201,50.9,12457748,128.0,80.58070000000001,GME
2021-02-12,50.75,55.24,48.05,52.33,14170307,110.0,66.2795,GME
2021-02-16,52.66,53.5,49.04,49.5,7810179,32.0,42.729199999999985,GME
2021-02-17,49.77,51.19,44.56,45.845,9012250,51.0,56.524700000000024,GME
2021-02-18,48.49,48.87,40.65,40.7,22958053,162.0,61.66050000000003,GME
2021-02-19,41.28,43.89,38.5,40.6799,13386161,118.0,69.4545,GME
2021-02-22,46.69,48.51,42.4,45.79,17590276,61.0,29.380899999999997,GME
2021-02-23,44.97,46.23,40.0,44.94,6732431,85.0,54.70439999999999,GME
2021-02-24,44.7,91.7,44.7,91.7,41234938,61.0,50.228399999999965,GME
2021-02-25,169.56,184.68,101.0,109.1599,129363589,145.0,82.4986,GME
2021-02-26,117.46,142.9,86.0,101.5999,86116443,341.0,112.36930000000001,GME
2021-03-01,104.54,133.99,99.97,119.49,46910918,121.0,49.21599999999999,GME
2021-03-02,116.93,133.2,112.2,118.1,32886575,171.0,85.96720000000003,GME
2021-03-03,122.51,127.75,113.12,124.8,17145084,308.0,142.68710000000013,GME
2021-03-04,125.0,147.8699,115.3,132.35,31249447,276.0,151.1281000000001,GME
2021-03-05,128.17,151.53,127.5,137.0,29790721,211.0,95.6571,GME
2021-03-08,154.89,210.8699,146.1,192.99,59746416,124.0,40.516000000000005,GME
2021-03-09,217.71,249.85,208.5101,246.9,34546858,134.0,82.36319999999996,GME
2021-03-10,269.43,348.5,172.0,263.05,68351712,307.0,143.79340000000005,GME
2021-03-11,241.64,281.5,232.6,256.19,26024957,293.0,113.14950000000002,GME
2021-03-12,274.9965,295.5,262.27,264.4589,24317888,172.0,84.86639999999996,GME
2021-03-15,277.52,283.0,206.0,220.13,22828921,89.0,44.3086,GME
2021-03-16,203.16,220.7,172.35,207.6199,33263363,154.0,61.73869999999998,GME
2021-03-17,217.84,231.47,204.0,209.8,14110451,202.0,67.52539999999995,GME
2021-03-18,214.0,218.88,195.65,201.52,11011394,204.0,66.81810000000002,GME
2021-03-19,195.73,227.0,182.66,199.46,22843898,104.0,37.09269999999998,GME
2021-03-22,205.26,210.3562,186.1952,194.52,9108962,119.0,25.555700000000005,GME
2021-03-23,197.5,201.75,177.55,180.66,9999895,47.0,37.4262,GME
2021-03-24,157.26,166.97,118.62,120.335,21398152,91.0,42.126300000000015,GME
2021-03-25,123.02,187.5,116.9,183.72,48367830,123.0,41.210499999999975,GME
2021-03-26,197.75,218.9344,166.0,179.98,33264860,82.0,28.155799999999996,GME
2021-03-29,180.6,193.92,173.51,181.08,9588129,15.0,28.975800000000003,GME
2021-03-30,187.5,204.3,182.0,193.98,16227358,14.0,25.1446,GME
2021-03-31,197.74,199.46,187.1102,190.2,7924162,11.0,21.391399999999997,GME
2021-04-01,193.54,196.969,183.6,190.6,8992984,30.0,43.534199999999984,GME
2021-04-05,171.28,195.0,164.81,186.1239,12245318,14.0,21.2484,GME
2021-04-06,185.61,192.0,183.56,184.4,5861231,28.0,28.640799999999995,GME
2021-04-07,183.4,184.4999,176.11,177.73,4429913,34.0,20.8308,GME
2021-04-08,185.86,185.88,164.3,170.24,9077021,12.0,24.047299999999996,GME
2021-04-09,169.9,171.58,153.0,158.32,9196674,26.0,31.631399999999996,GME
2021-04-12,158.1,163.9,135.01,141.07,16290274,17.0,15.2861,GME
2021-04-13,141.85,145.3771,132.0,140.72,6436582,21.0,21.838399999999996,GME
2021-04-14,144.14,174.09,143.0,167.0,20701021,83.0,36.10430000000001,GME
