Date,Adj Close,Close,High,Low,Open,Volume,Dividends,Stock Splits,Daily Return,30-Day Rolling STD,30-Day Rolling SMA,30-Day Rolling EWMA,RSI,MACD,5D Return,21D Return
2025-06-11,,,,,,0,0.01,0.0,,,,,,,,
2025-06-12,144.80712890625,145.0,145.0,141.85000610351562,141.97000122070312,162365000,0.0,0.0,,,,145.0,,0.0,,
2025-06-13,141.78115844726562,141.97000122070312,143.5800018310547,140.85000610351562,142.47999572753906,180820600,0.0,0.0,-0.02089654330549573,,,143.46749942965093,0.0,-0.24170930433137983,,
2025-06-16,144.49754333496094,144.69000244140625,146.17999267578125,143.1999969482422,143.35000610351562,183133700,0.0,0.0,0.019158985682296903,,,143.8844511200205,6.459278477526709,-0.2113480145710298,,
2025-06-17,143.92828369140625,144.1199951171875,145.22000122070312,143.77999877929688,144.49000549316406,139108000,0.0,0.0,-0.003939507323248437,,,143.94539339447468,6.366471879273433,-0.23062282464434247,,
2025-06-18,145.2864990234375,145.47999572753906,145.64999389648438,143.1199951171875,144.00999450683594,161494100,0.0,0.0,0.009436585181991752,,,144.26665786662963,9.700161551130847,-0.1346059140510647,,
2025-06-20,143.65866088867188,143.85000610351562,146.1999969482422,142.64999389648438,145.4499969482422,242956200,0.0,0.0,-0.011204218256069765,,,144.19314391659816,9.27398402413688,-0.18787268158180837,-0.00793099238954742,
2025-06-23,143.9782257080078,144.1699981689453,144.77999877929688,142.02999877929688,142.5,154308900,0.0,0.0,0.0022244841977929752,,,144.1896038405481,10.108946772146894,-0.2019384722159998,0.015496209969189989,
2025-06-24,147.70326232910156,147.89999389648438,147.9600067138672,145.5,145.55999755859375,187566100,0.0,0.0,0.02587220486170838,,,144.69176293943295,19.41841498212075,0.08689213130412554,0.022185302376907856,
2025-06-25,154.10475158691406,154.30999755859375,154.4499969482422,149.25999450683594,149.27000427246094,269146500,0.0,0.0,0.04334012120781927,,,145.86184861853056,32.379000366311146,0.8235330144433703,0.07070498741774522,
2025-06-26,154.81381225585938,155.02000427246094,156.72000122070312,154.0,155.97999572753906,198145700,0.0,0.0,0.00460117118203951,,,146.87577541217684,33.65193451618801,1.4479270281009349,0.0655760848576652,
2025-06-27,157.5401611328125,157.75,158.7100067138672,155.25999450683594,156.0399932861328,263234500,0.0,0.0,0.01761060284026872,,,147.98244683636986,38.4496969744816,2.1384014611907105,0.09662838586521727,
