Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains,Daily Return,30-Day Rolling STD,30-Day Rolling SMA,30-Day Rolling EWMA,RSI,MACD,5D Return,21D Return
2025-09-26,38.34000015258789,38.599998474121094,37.887001037597656,38.599998474121094,38.418819427490234,25800,0.0,0.0,0.0,,,,38.599998474121094,,0.0,,
2025-09-29,39.68000030517578,39.779998779296875,38.27000045776367,38.470001220703125,38.2894287109375,31200,0.0,0.0,0.0,-0.003367804625824644,,,38.53424898723415,0.0,-0.010370151269817995,,
2025-09-30,38.54999923706055,39.13999938964844,38.49800109863281,39.13999938964844,38.95628356933594,46600,0.0,0.0,0.0,0.01741612029335582,,,38.74084860441303,28.39020447749131,0.03507041208160899,,
2025-10-01,39.09000015258789,39.1879997253418,38.63999938964844,39.11000061035156,38.92642593383789,32500,0.0,0.0,0.0,-0.000766448128888042,,,38.83635926540123,28.00680916121172,0.06787926522407162,,
2025-10-02,39.060001373291016,39.5099983215332,38.959999084472656,39.5099983215332,39.324546813964844,19000,0.0,0.0,0.0,0.010227504600850645,,,38.97738361492052,39.70002624568824,0.12471930358978511,,
2025-10-03,39.4900016784668,39.5,39.029998779296875,39.25,39.06576919555664,35600,0.0,0.0,0.0,-0.006580570300644739,,,39.02548399294535,35.64713506677319,0.14709018773019267,0.01683941843455483,
2025-10-06,38.939998626708984,39.2599983215332,38.939998626708984,39.2599983215332,39.07571792602539,27300,0.0,0.0,0.0,0.000254734306578408,,,39.06135229024468,35.91806128164042,0.16373857915645829,0.0205354061804639,
2025-10-07,39.45000076293945,39.45000076293945,39.047000885009766,39.36000061035156,39.17525100708008,27600,0.0,0.0,0.0,0.0025471801603085265,,,39.101770944091705,38.69793931384531,0.18289361451974884,0.005620879512872712,
2025-10-08,39.5,39.7599983215332,39.439998626708984,39.67499923706055,39.488773345947266,20100,0.0,0.0,0.0,0.00800301376586221,,,39.17150580116415,46.561634469189656,0.22094495872110542,0.014446397798302257,
2025-10-09,39.709999084472656,39.7400016784668,38.78300094604492,38.90999984741211,38.72736358642578,28800,0.0,0.0,0.0,-0.019281648503066573,,,39.142553695169596,34.86464790942891,0.18721378182746662,-0.015185990878518685,
2025-10-10,39.0,39.0,38.0,38.025001525878906,37.846519470214844,31900,0.0,0.0,0.0,-0.02274475263438136,,,39.02882024771222,26.553899680611508,0.08805457448845999,-0.031210152206906816,
2025-10-13,38.33000183105469,38.40999984741211,38.05799865722656,38.32699966430664,38.147098541259766,22100,0.0,0.0,0.0,0.007942094051520243,,,38.96262098021725,32.46953113232678,0.0334532854850238,-0.02376461276400088,
2025-10-14,38.0099983215332,38.749000549316406,37.79999923706055,38.59000015258789,38.40886688232422,17400,0.0,0.0,0.0,0.006862016087478384,,,38.929818392745894,37.21242137995062,0.011273359712923536,-0.019563019456894093,
2025-10-15,38.4900016784668,38.79999923706055,37.689998626708984,37.84000015258789,37.66238784790039,36900,0.0,0.0,0.0,-0.019435086733206597,,,38.83975109527588,30.61009012410568,-0.06606160617363344,-0.04625076546336959,
2025-10-16,38.279998779296875,38.279998779296875,37.573001861572266,37.630001068115234,37.453372955322266,20900,0.0,0.0,0.0,-0.00554965865818835,,,38.7454138862447,29.05562690089242,-0.142650904063494,-0.03289639641008657,
