Date,Close,Predicted Close
2026-03-09,1357.4200439453125,1386.3636145190117
2026-03-10,1383.4000244140625,1409.0018626993026
2026-03-11,1386.6800537109375,1399.490578488288
2026-03-12,1351.5799560546875,1388.263872244036
2026-03-13,1345.68994140625,1397.6289745628446
2026-03-16,1375.56005859375,1398.018813652137
2026-03-17,1389.1600341796875,1400.3599455349663
2026-03-18,1355.1700439453125,1381.7881253594892
2026-03-19,1366.3900146484375,1394.877122046778
2026-03-20,1317.25,1370.0841055254225
2026-03-23,1369.6199951171875,1388.8421948888204
2026-03-24,1399.4200439453125,1404.0541444799633
2026-03-25,1393.8900146484375,1413.3753338155557
2026-03-26,1329.5,1374.5404734195117
2026-03-27,1302.469970703125,1369.1568209326506
2026-03-30,1253.9599609375,1324.8013498945897
2026-03-31,1320.8299560546875,1348.758637613606
2026-04-01,1359.760009765625,1373.3725794120032
2026-04-02,1317.22998046875,1365.219759619799
2026-04-06,1304.010009765625,1361.6708073993282
2026-04-07,1306.449951171875,1374.7842423146956
2026-04-08,1421.050048828125,1419.6244484977583
2026-04-09,1448.6400146484375,1431.122923834475
2026-04-10,1478.280029296875,1471.2472155915773
2026-04-13,1500.199951171875,1503.769814527566
2026-04-14,1518.300048828125,1528.9607509269422
2026-04-15,1481.77001953125,1493.0243487738242
2026-04-16,1410.8299560546875,1448.853797279145
2026-04-17,1459.800048828125,1468.3224300467343
2026-04-20,1476.5,1476.6660411025846
2026-04-21,1458.969970703125,1471.5773972278266
2026-04-22,1443.6600341796875,1471.9743718549623
2026-04-23,1417.800048828125,1470.09772506838
2026-04-24,1457.699951171875,1480.0161052710039
2026-04-27,1432.43994140625,1467.3383836114122
2026-04-28,1384.56005859375,1445.0117376282174
2026-04-29,1394.0799560546875,1449.4431834730206
2026-04-30,1438.989990234375,1475.134791024111
2026-05-01,1427.02001953125,1458.6585183948862
2026-05-04,1386.2099609375,1445.5695245509755
2026-05-05,1442.9200439453125,1487.2240852653972
2026-05-06,1544.739990234375,1547.1018802514945
2026-05-07,1516.5999755859375,1527.8581118838633
2026-05-08,1592.02001953125,1581.6497067453988
2026-05-11,1565.81005859375,1593.9036540737525
