Date,Close,Predicted Close
2026-07-23,606.0999755859375,609.2454998035896
2026-07-24,595.1900024414062,600.954161062496
2026-07-27,593.8699951171875,598.7286638765513
2026-07-28,593.4099731445312,595.536630549967
2026-07-29,585.6099853515625,588.0767460922581
2026-07-30,539.030029296875,555.5787284214908
2026-07-31,556.7100219726562,562.7421416219422
2026-08-03,590.239990234375,590.791052390498
2026-08-04,587.9400024414062,587.8091471522625
2026-08-05,588.77001953125,588.5672606609422
2026-08-06,589.9000244140625,598.1334124642747
2026-08-07,592.0999755859375,595.9438271731622
2026-08-10,594.9199829101562,592.0688799383016
2026-08-11,599.1199951171875,598.2813979920679
2026-08-12,578.8499755859375,581.3352752991028
2026-08-13,594.969970703125,593.2443746404409
2026-08-14,589.8499755859375,590.2302639628276
2026-08-17,568.969970703125,573.8763063366644
2026-08-18,543.6699829101562,552.586973671611
2026-08-19,546.030029296875,553.2638986253057
2026-08-20,545.8300170898438,548.4528018612395
2026-08-21,549.9000244140625,551.0849301706343
2026-08-24,559.02001953125,561.5606831836153
2026-08-25,570.0499877929688,574.667796296015
2026-08-26,576.1400146484375,579.9042387527211
2026-08-27,571.0999755859375,574.1049151203649
2026-08-28,578.02001953125,584.5052544066489
2026-08-31,572.3400268554688,574.713714136442
2026-09-01,578.5399780273438,575.5926608217732
2026-09-02,592.8499755859375,589.4209363413263
2026-09-03,610.6799926757812,608.1243968542673
2026-09-04,616.77001953125,615.0767427313884
2026-09-08,613.47998046875,614.8172624394288
2026-09-09,653.6900024414062,648.4321813981452
2026-09-10,644.3800048828125,640.1363218076252
2026-09-11,648.030029296875,646.914604717907
2026-09-14,665.5999755859375,661.3173627394341
2026-09-15,670.239990234375,670.1499095643818
2026-09-16,673.3099975585938,673.4433526426387
2026-09-17,682.3099975585938,687.8393552209625
2026-09-18,665.75,670.8699519524821
2026-09-21,741.25,719.4381095883019
2026-09-22,736.5999755859375,721.301409005207
2026-09-23,744.0999755859375,730.9487618391124
2026-09-24,777.5900268554688,753.2010866579324
