Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains,Daily Return,30-Day Rolling STD,30-Day Rolling SMA,30-Day Rolling EWMA,RSI,MACD,5D Return,21D Return
2025-08-01,28.31999969482422,28.440000534057617,28.31999969482422,28.440000534057617,28.0793514251709,16200,0.0,0.0,0.0,,,,28.440000534057617,,0.0,,
2025-08-04,28.81999969482422,28.829999923706055,28.815000534057617,28.815000534057617,28.449594497680664,600,0.0,0.0,0.0,0.013185653760833471,,,28.629666522640708,,0.029914529914528032,,
2025-08-05,28.665000915527344,28.780000686645508,28.665000915527344,28.735000610351562,28.370609283447266,800,0.0,0.0,0.0,-0.0027763290724739376,,,28.66559218131169,98.3854707378841,0.04662917305717329,,
2025-08-06,29.08099937438965,29.246000289916992,29.051000595092773,29.202999114990234,28.832674026489258,16500,0.0,0.0,0.0,0.016286705923022726,,,28.804635422658244,98.53453107851492,0.09652651864657713,,
2025-08-07,29.56999969482422,29.6299991607666,29.420000076293945,29.52400016784668,29.14960479736328,2700,0.0,0.0,0.0,0.010992057753810291,,,28.955232310314695,98.62809066117839,0.1601267848644703,,
2025-08-08,29.959999084472656,30.049999237060547,29.959999084472656,30.010000228881836,29.629440307617188,2300,0.0,0.0,0.0,0.01646118609511582,,,29.141335341490702,98.75743443483293,0.24690048224181638,0.0552039263481765,
2025-08-11,30.1200008392334,30.1200008392334,29.809999465942383,29.93600082397461,29.556381225585938,14900,0.0,0.0,0.0,-0.0024658248698048446,,,29.262877159216238,97.25393290314798,0.3061688056389684,0.03890335829048608,
2025-08-12,30.204999923706055,30.5,30.204999923706055,30.496999740600586,30.110265731811523,12900,0.0,0.0,0.0,0.018739941915577818,,,29.429901615954922,97.55752016266241,0.3938670488788212,0.061318917446421706,
2025-08-13,30.5049991607666,30.5049991607666,30.3799991607666,30.44499969482422,30.05892562866211,3700,0.0,0.0,0.0,-0.0017050872616540813,,,29.55339119299209,96.49265882923889,0.4539398335332514,0.04252989821160025,
2025-08-14,30.40999984741211,30.40999984741211,30.315000534057617,30.371000289916992,29.985862731933594,1000,0.0,0.0,0.0,-0.0024305930579400226,,,29.643911140613348,94.90509563797436,0.4899292156085586,0.028688528561680027,
2025-08-15,31.020999908447266,31.020999908447266,31.020999908447266,31.020999908447266,30.627620697021484,100,0.0,0.0,0.0,0.021401982559858812,,,29.784057665602866,95.5912499309869,0.5643946074237256,0.03368875947533101,
2025-08-18,28.84000015258789,30.969999313354492,28.84000015258789,30.92300033569336,30.530864715576172,11300,0.0,0.0,0.0,-0.0031591364895758867,,,29.891488499439184,93.54572186196678,0.6084869615045392,0.03297031950000151,
2025-08-19,30.90999984741211,30.90999984741211,30.799999237060547,30.868999481201172,30.47754669189453,27300,0.0,0.0,0.0,-0.0017463006146223314,,,29.977540826914982,92.37273742509356,0.631790168343354,0.012197912705010916,
2025-08-20,30.75,30.829999923706055,28.979999542236328,30.790000915527344,30.399551391601562,23500,0.0,0.0,0.0,-0.0025591553662740463,,,30.044686045986516,90.58328707473083,0.6365458987377508,0.011331950210588415,
2025-08-21,30.40999984741211,30.43000030517578,30.361000061035156,30.361000061035156,29.975990295410156,300,0.0,0.0,0.0,-0.013933122498734463,,,30.069352448703757,81.36525026256844,0.5987955236315621,-0.0003292689995842979,
2025-08-22,30.8799991607666,30.8799991607666,30.860000610351562,30.8799991607666,30.488407135009766,1400,0.0,0.0,0.0,0.017094268920262667,,,30.129263732702768,83.54666140766521,0.6037967758929632,-0.0045453321329680385,
2025-08-25,30.81999969482422,30.81999969482422,30.54599952697754,30.54599952697754,30.15864372253418,1600,0.0,0.0,0.0,-0.010816050610953809,,,30.15856645850006,77.2772109892993,0.5741904155574069,-0.012191598636069667,
2025-08-26,30.440000534057617,30.481000900268555,30.440000534057617,30.481000900268555,30.09446907043457,600,0.0,0.0,0.0,-0.002127893266402281,,,30.180210833047436,76.0806971408962,0.5392659930435642,-0.012569198466212184,
2025-08-27,30.270000457763672,30.393999099731445,30.110000610351562,30.393999099731445,30.00857162475586,1900,0.0,0.0,0.0,-0.002854296052212102,,,30.193953379460684,74.41972221070442,0.49881775777712534,-0.01286137720107039,
2025-08-28,30.704999923706055,30.704999923706055,30.683000564575195,30.683000564575195,30.293907165527344,200,0.0,0.0,0.0,0.00950850409304338,,,30.224138951266426,76.27279177241898,0.48449726001713955,0.010605727838105317,
2025-08-29,30.297000885009766,30.297000885009766,30.256999969482422,30.270999908447266,29.887130737304688,300,0.0,0.0,0.0,-0.013427652072711571,,,30.22692310412891,68.63900551703401,0.43489001131159455,-0.019721478914192403,
