Date,Close,Predicted Close
2026-03-25,139.6300048828125,138.2196946773191
2026-03-26,127.26000213623047,124.09971304202368
2026-03-27,121.83999633789062,117.18178374575119
2026-03-30,124.12999725341797,119.22969825438636
2026-03-31,134.64999389648438,133.8071246371353
2026-04-01,136.17999267578125,135.17387501451623
2026-04-02,136.0,138.6615078664919
2026-04-06,138.33999633789062,143.983837799404
2026-04-07,141.13999938964844,147.96502387082552
2026-04-08,145.0,150.12170973399526
2026-04-09,138.3800048828125,141.68153196143433
2026-04-10,139.72999572753906,143.2341890243842
2026-04-13,149.35000610351562,155.2503075706941
2026-04-14,154.5399932861328,161.18910927613436
2026-04-15,158.47999572753906,164.81147097083556
2026-04-16,162.4499969482422,171.9478724352642
2026-04-17,163.8000030517578,174.67146183845864
2026-04-20,166.27999877929688,176.51214312372775
2026-04-21,156.82000732421875,162.07746388955243
2026-04-22,164.30999755859375,169.5100830547748
2026-04-23,152.9600067138672,155.51950276316092
2026-04-24,154.88999938964844,156.65496274426286
2026-04-27,160.2100067138672,163.2655465047108
2026-04-28,147.92999267578125,151.81871608716904
2026-04-29,147.75,148.75455710016334
2026-04-30,147.22999572753906,147.77172801106448
2026-05-01,166.47999572753906,166.55827759098793
2026-05-04,169.07000732421875,170.08489258385725
2026-05-05,171.6300048828125,176.93885082938988
2026-05-06,166.55999755859375,171.80382212779895
2026-05-07,163.9499969482422,169.19314337993933
2026-05-08,155.8000030517578,156.11530637721003
2026-05-11,159.50999450683594,159.27768332578324
2026-05-12,152.35000610351562,150.16723936197792
2026-05-13,154.1199951171875,152.0514239114285
2026-05-14,156.30999755859375,154.48149278095883
2026-05-15,158.1699981689453,158.15883713332732
2026-05-18,159.11000061035156,158.42558340741968
2026-05-19,154.8800048828125,154.82871276349073
2026-05-20,146.72000122070312,144.56268418685724
2026-05-21,150.0399932861328,147.53711512547306
2026-05-22,141.6699981689453,137.89753262662455
2026-05-26,144.63999938964844,140.21928768056853
2026-05-27,154.19000244140625,151.31352138972466
2026-05-28,167.69000244140625,169.05852888541665
