Date,Close,Predicted Close
2026-07-06,411.79998779296875,423.11792881196686
2026-07-07,417.2799987792969,424.5337852584122
2026-07-08,431.9700012207031,432.23502796900937
2026-07-09,450.2200012207031,446.32150682646875
2026-07-10,434.9700012207031,456.2978806589533
2026-07-13,427.1099853515625,452.8321698816461
2026-07-14,457.5400085449219,463.7678039194391
2026-07-15,412.67999267578125,444.70911140821124
2026-07-16,391.3800048828125,423.43816054519266
2026-07-17,396.3399963378906,421.53382882348706
2026-07-20,381.8800048828125,409.301557154708
2026-07-21,404.1499938964844,407.5050314052768
2026-07-22,441.79998779296875,434.14047384268144
2026-07-23,439.3399963378906,444.2443687949849
2026-07-24,437.5,446.8537965260057
2026-07-27,426.9100036621094,451.1558220196197
2026-07-28,392.1000061035156,430.7351150128882
2026-07-29,369.6400146484375,403.8953218712468
2026-07-30,404.80999755859375,411.1505106869264
2026-07-31,405.3699951171875,411.1906581510111
2026-08-03,429.0199890136719,426.5240704857125
2026-08-04,467.2699890136719,458.1924927119236
2026-08-05,462.70001220703125,472.69843135263227
2026-08-06,437.6499938964844,455.79580831653186
2026-08-07,453.7699890136719,463.8641155990083
2026-08-10,457.8800048828125,464.7833256170045
2026-08-11,440.9700012207031,453.007048350137
2026-08-12,484.5,472.02714192062774
2026-08-13,494.510009765625,493.5684813725386
2026-08-14,490.80999755859375,496.8189595353857
2026-08-17,479.80999755859375,496.7840933468832
2026-08-18,468.6499938964844,499.6635821419271
2026-08-19,437.54998779296875,474.9397232777576
2026-08-20,434.7799987792969,462.66843264668626
2026-08-21,442.0799865722656,461.4323897943193
2026-08-24,433.19000244140625,457.2393834414203
2026-08-25,451.5,463.74170621564156
2026-08-26,463.82000732421875,479.5699254533548
2026-08-27,472.260009765625,489.54290287607375
2026-08-28,456.239990234375,482.260185610362
2026-08-31,456.010009765625,486.83752404750203
2026-09-01,425.0,470.1350792129783
2026-09-02,492.20001220703125,495.04923223018363
2026-09-03,516.3900146484375,507.3801903168975
2026-09-04,524.1400146484375,524.244271022258
