Date,Adj Close,Close,High,Low,Open,Volume,Dividends,Stock Splits,Daily Return,30-Day Rolling STD,30-Day Rolling SMA,30-Day Rolling EWMA,RSI,MACD,5D Return,21D Return
2025-09-22,,,,,,0,0.525,0.0,,,,,,,,
2025-09-23,752.8463134765625,755.4000244140625,770.5999755859375,751.0700073242188,769.25,10872600,0.0,0.0,,,,755.4000244140625,,0.0,,
2025-09-24,758.0884399414062,760.6599731445312,761.1099853515625,752.530029296875,757.5,8828200,0.0,0.0,0.006963130209783452,,,758.0603800830245,,0.4195970497240751,,
2025-09-25,746.378173828125,748.9099731445312,756.77001953125,744.5499877929688,753.4500122070312,10591100,0.0,0.0,-0.015447112264138307,,,754.9395062660383,85.33620649599837,-0.1937624930816355,,
2025-09-26,741.2357177734375,743.75,751.9299926757812,737.3499755859375,750.0,9696300,0.0,0.0,-0.0068899778739298645,,,752.0444464467539,79.80201179355218,-1.0837285111617803,,
2025-09-29,740.8868408203125,743.4000244140625,750.780029296875,739.1500244140625,748.719970703125,9246800,0.0,0.0,-0.00047055540966389753,,,750.2347621907215,79.42577819944606,-1.7965634323402355,,
2025-09-30,731.8973999023438,734.3800048828125,742.969970703125,726.2999877929688,742.25,16226800,0.0,0.0,-0.012133466821391936,,,747.4373521238983,70.2350103918996,-3.054124390943457,-0.02782634213912627,
2025-10-01,714.9149780273438,717.3400268554688,721.8499755859375,710.2000122070312,721.489990234375,20419600,0.0,0.0,-0.023203216201485355,,,742.8340521159913,56.85128949434229,-5.363902598401296,-0.05695047434924172,
2025-10-02,724.5921020507812,727.0499877929688,727.77001953125,718.1400146484375,722.5800170898438,11415300,0.0,0.0,0.013536064591382901,,,740.6978585089315,61.36875700870802,-6.337847015516218,-0.029189069628458242,
2025-10-03,708.1578369140625,710.5599975585938,731.0,710.1799926757812,729.6300048828125,16154300,0.0,0.0,-0.02268068291209524,,,737.0315017508655,51.50648972148815,-8.344123520379412,-0.04462521336659664,
2025-10-06,713.2406005859375,715.6599731445312,716.8800048828125,690.510009765625,705.1900024414062,21654700,0.0,0.0,0.0071774031798306215,,,734.6653959219215,53.97026071935017,-9.41406719089116,-0.03731510675076388,
2025-10-07,710.66943359375,713.0800170898438,718.5,705.75,717.719970703125,12062900,0.0,0.0,-0.003605002587124484,,,732.4686487662125,52.516667883110934,-10.350867789633185,-0.029004041029640604,
2025-10-08,715.4132690429688,717.8400268554688,719.6500244140625,707.8099975585938,713.4500122070312,10790600,0.0,0.0,0.006675281387145127,,,731.0888031506096,54.9286234279146,-10.58715388666451,0.0006970195183333416,
