Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains,Daily Return,30-Day Rolling STD,30-Day Rolling SMA,30-Day Rolling EWMA,RSI,MACD,5D Return,21D Return
2026-04-02,27.0,28.0,26.139999389648438,27.760000228881836,27.760000228881836,2530200,0.0,0.0,0.0,,,,27.760000228881836,,0.0,,
2026-04-06,29.280000686645508,29.950000762939453,28.790000915527344,29.15999984741211,29.15999984741211,6320100,0.0,0.0,0.0,0.05043226249954058,,,28.468086393320498,,0.11168088125027609,,
2026-04-07,29.06999969482422,29.459999084472656,28.3799991607666,29.440000534057617,29.440000534057617,4869600,0.0,0.0,0.0,0.009602218385140304,,,28.79957125673409,,0.22024366770297732,,
2026-04-08,33.38999938964844,33.38999938964844,31.690000534057617,32.470001220703125,32.470001220703125,9442600,0.0,0.0,0.0,0.10292121710868374,,,29.74922122837186,,0.544499539012822,,
2026-04-09,31.5,32.45000076293945,30.829999923706055,32.380001068115234,32.380001068115234,10282900,0.0,0.0,0.0,-0.002771793939154721,,,30.299967228401258,99.5222377697714,0.7851615395304776,,
2026-04-10,32.58000183105469,32.70000076293945,32.11000061035156,32.43000030517578,32.43000030517578,4864800,0.0,0.0,0.0,0.0015441394506248152,,,30.675789819432847,99.52359949299262,0.9687552222140319,0.16822766706735193,
2026-04-13,32.349998474121094,33.58000183105469,32.060001373291016,33.54999923706055,33.54999923706055,5547900,0.0,0.0,0.0,0.03453589026658177,,,31.115391947425607,99.55424799481817,1.1909011251823927,0.15054867670165795,
2026-04-14,34.310001373291016,35.56999969482422,33.70000076293945,35.56999969482422,35.56999969482422,8770400,0.0,0.0,0.0,0.060208658828591055,,,31.71827244747982,99.6037603422909,1.5125151754187272,0.20822007641185736,
2026-04-15,34.630001068115234,34.68000030517578,33.689998626708984,34.470001220703125,34.470001220703125,7354200,0.0,0.0,0.0,-0.030924894111853285,,,32.05302810252438,93.51239444199693,1.6595061892019878,0.06159531644011107,
2026-04-16,34.81999969482422,35.34000015258789,34.529998779296875,35.040000915527344,35.040000915527344,6114400,0.0,0.0,0.0,0.016536108924819715,,,32.38372479315083,93.72649434509114,1.8012283985714141,0.0821494675622918,
2026-04-17,35.70000076293945,35.970001220703125,35.2599983215332,35.59000015258789,35.59000015258789,5743800,0.0,0.0,0.0,0.015696324848462728,,,32.71002790467168,93.93449798374174,1.9356120812494808,0.0974406357593458,
2026-04-20,35.439998626708984,35.68000030517578,34.54999923706055,35.06999969482422,35.06999969482422,6581100,0.0,0.0,0.0,-0.014610858542687066,,,32.93263238152927,90.86693943122229,1.9773586669876195,0.04530552883246042,
2026-04-21,35.79999923706055,36.0,34.88999938964844,34.93000030517578,34.93000030517578,6938800,0.0,0.0,0.0,-0.0039919985989934625,,,33.10846483953958,90.01464817974824,1.976364061574177,-0.01799267346469957,
2026-04-22,36.130001068115234,37.5,35.79999923706055,37.29999923706055,37.29999923706055,9861400,0.0,0.0,0.0,0.06784995451413112,,,33.45487138838078,91.4727785714645,2.1421218888043185,0.0821003166851555,
2026-04-23,36.7400016784668,37.349998474121094,35.810001373291016,36.36000061035156,36.36000061035156,11883700,0.0,0.0,0.0,-0.025201036084070982,,,33.68141553099088,86.10231737163217,2.1725918414687584,0.0376712231830818,
2026-04-24,36.9900016784668,37.54999923706055,36.630001068115234,37.20000076293945,37.20000076293945,11151400,0.0,0.0,0.0,0.023102314039806338,,,33.941458476911876,86.84555723814653,2.2387139893015444,0.04523744319890066,
2026-04-27,38.31999969482422,39.34000015258789,38.0099983215332,38.56999969482422,38.56999969482422,11874200,0.0,0.0,0.0,0.036827927521163595,,,34.26691377979986,87.97507848430021,2.374294344827433,0.09980040007005031,
2026-04-28,37.349998474121094,37.970001220703125,36.5099983215332,37.33000183105469,37.33000183105469,14534900,0.0,0.0,0.0,-0.032149283732971545,,,34.47253271023829,81.1805499094788,2.3545435761800277,0.06870888934757002,
2026-04-29,38.689998626708984,39.0,37.869998931884766,38.22999954223633,38.22999954223633,11287000,0.0,0.0,0.0,0.024109232977131523,,,34.714066837138226,82.25195880057204,2.3840316110242696,0.024932984562952676,
2026-04-30,39.209999084472656,39.43000030517578,38.20000076293945,39.33000183105469,39.33000183105469,9381500,0.0,0.0,0.0,0.02877327496703419,,,34.99897725365945,83.48919715775932,2.467715791152429,0.08168320051836231,
2026-05-01,38.900001525878906,40.79999923706055,38.75,40.40999984741211,40.40999984741211,11751000,0.0,0.0,0.0,0.02745990251911623,,,35.32046266389621,84.62263795185355,2.5913118903793304,0.08629029619995654,
2026-05-04,42.150001525878906,43.43000030517578,41.90999984741211,42.470001220703125,42.470001220703125,29751300,0.0,0.0,0.0,0.05097751499800962,,,35.730251411877184,86.52306428749041,2.822946415103061,0.10111489646711758,0.5298991668060877
2026-05-05,44.400001525878906,46.97999954223633,44.290000915527344,46.290000915527344,46.290000915527344,36056200,0.0,0.0,0.0,0.08994583435429848,,,36.31533091820152,89.19080222753678,3.276985446709027,0.24002139418645485,0.587448599374238
2026-05-06,48.650001525878906,48.9900016784668,46.34000015258789,48.68000030517578,48.68000030517578,47141000,0.0,0.0,0.0,0.051631007612418234,,,36.9788077028555,90.46281471231052,3.786024691196083,0.27334556338130067,0.6535325890656967
2026-05-07,47.95000076293945,48.779998779296875,46.08000183105469,46.54999923706055,46.54999923706055,27480500,0.0,0.0,0.0,-0.04375515724655343,,,37.477034170079996,81.28242196528217,3.9717844164437466,0.18357480472591803,0.4336309666468354
2026-05-08,49.0,52.79999923706055,48.900001525878906,52.79999923706055,52.79999923706055,41325400,0.0,0.0,0.0,0.13426423420914024,,,38.252026830289864,85.82735075607525,4.570635660823612,0.3066072614806481,0.6306361178305517
2026-05-11,54.90999984741211,56.380001068115234,53.70000076293945,55.08000183105469,55.08000183105469,79681400,0.0,0.0,0.0,0.04318186793445622,,,39.080168376976076,87.06158739502833,5.1696146414304565,0.296915475580549,0.6984274225327096
2026-05-12,52.029998779296875,52.970001220703125,48.31999969482422,51.29999923706055,51.29999923706055,69795100,0.0,0.0,0.0,-0.06862749579399863,,,39.666081257872385,75.34635091393463,5.278448511713449,0.10823068097742605,0.5290611148626407
2026-05-13,54.66999816894531,54.869998931884766,52.869998931884766,54.540000915527344,54.540000915527344,42539400,0.0,0.0,0.0,0.06315792839478496,,,40.36178413065737,78.07027770370621,5.56202562646569,0.1203779904193738,0.5333146298413785
2026-05-14,53.470001220703125,55.09000015258789,53.150001525878906,53.790000915527344,53.790000915527344,28665300,0.0,0.0,0.0,-0.013751374906678437,7.995823291932235,39.46966705322266,40.97518592113381,75.9776086464787,5.660987461368833,0.15553172496515755,0.5604873516285338
2026-05-15,50.689998626708984,51.93000030517578,49.81999969482422,51.099998474121094,51.099998474121094,34692700,0.0,0.0,0.0,-0.05000933994462409,7.952558269603328,40.24766699473063,41.42736032020103,68.84924116025371,5.459421895538384,-0.032196984611814417,0.4583332516831371
2026-05-18,53.13999938964844,53.150001525878906,48.0099983215332,49.31999969482422,49.31999969482422,37807419,0.0,0.0,0.0,-0.03483363664283334,7.834221229628712,40.91966698964437,41.772318812862,64.53456168531878,5.097290317174171,-0.10457519870638277,0.385782508664529
