Date,Close,Predicted Close
2026-06-12,127.98999786376953,130.70202322378262
2026-06-15,134.7100067138672,134.8988729221737
2026-06-16,133.25,134.91224312614784
2026-06-17,130.6300048828125,132.65454535104533
2026-06-18,128.47000122070312,129.3830066705649
2026-06-22,119.5,121.31286653058251
2026-06-23,116.69999694824219,115.67672289831512
2026-06-24,113.5,111.94426371845358
2026-06-25,107.2699966430664,105.6080061319034
2026-06-26,112.93000030517578,111.15081423331651
2026-06-29,115.69999694824219,114.58699875121796
2026-06-30,116.66999816894531,114.42924831571607
2026-07-01,125.7300033569336,123.49135961315181
2026-07-02,129.3000030517578,132.09710028407562
2026-07-06,132.5399932861328,136.23021230064478
2026-07-07,134.3699951171875,137.82796036474429
2026-07-08,132.22000122070312,138.09931521339968
2026-07-09,129.0399932861328,132.06144328566492
2026-07-10,126.79000091552734,129.97327088072282
2026-07-13,130.0399932861328,131.92171353400914
2026-07-14,133.72000122070312,133.79737065190358
2026-07-15,133.75999450683594,135.34332154904627
2026-07-16,134.44000244140625,135.19094651867152
2026-07-17,132.3800048828125,134.1927780858461
2026-07-20,134.85000610351562,136.022500679818
2026-07-21,132.66000366210938,133.45318214544218
2026-07-22,124.56999969482422,126.8132291446224
2026-07-23,123.37000274658203,125.37397369204626
2026-07-24,122.91999816894531,125.72345674725551
2026-07-27,131.52999877929688,135.00975994747205
2026-07-28,123.52999877929688,125.98428157201474
2026-07-29,123.0,126.8826980743718
2026-07-30,122.26000213623047,125.51578752108315
2026-07-31,123.05999755859375,123.62633851515866
2026-08-03,125.6500015258789,121.100339643683
2026-08-04,162.66000366210938,155.74730260281058
2026-08-05,158.42999267578125,159.8249553398182
2026-08-06,155.9199981689453,162.86207468118673
2026-08-07,172.00999450683594,179.70637727307394
2026-08-10,175.22999572753906,187.4144610702857
2026-08-11,174.94000244140625,177.15553523684596
2026-08-12,171.0399932861328,177.4786490967872
2026-08-13,179.00999450683594,186.78820371084694
2026-08-14,174.0399932861328,180.66721031891964
2026-08-17,172.5500030517578,180.75704572174084
