Date,Close,Predicted Close
2026-03-02,619.0800170898438,643.0034501960818
2026-03-03,565.4099731445312,626.1888571852074
2026-03-04,599.0599975585938,623.089679474618
2026-03-05,565.5900268554688,605.0226715092648
2026-03-06,527.3300170898438,586.7135694762978
2026-03-09,588.72998046875,598.1595162946556
2026-03-10,618.8900146484375,619.4922775311101
2026-03-11,655.4299926757812,637.5683552499269
2026-03-12,618.8200073242188,646.6194298061748
2026-03-13,661.6199951171875,673.366302861329
2026-03-16,703.6300048828125,688.7625569735669
2026-03-17,720.1699829101562,707.3033949916011
2026-03-18,753.6900024414062,734.0356385711765
2026-03-19,772.0900268554688,766.354872917736
2026-03-20,709.7100219726562,758.7145072122283
2026-03-23,702.489990234375,753.386398228805
2026-03-24,702.47998046875,751.1422971573959
2026-03-25,677.8599853515625,743.7746809510209
2026-03-26,603.1699829101562,712.8720669219499
2026-03-27,615.8300170898438,703.7257854443137
2026-03-30,572.5,677.8053321241206
2026-03-31,635.3400268554688,682.465997082476
2026-04-01,692.72998046875,707.8518510601589
2026-04-02,701.5900268554688,731.8790982038705
2026-04-06,724.6300048828125,750.4872915865288
2026-04-07,710.7999877929688,769.6227319054086
2026-04-08,780.9000244140625,790.7180333804662
2026-04-09,851.5700073242188,825.923708071022
2026-04-10,851.77001953125,852.0732165367912
2026-04-13,952.5,909.661876488417
2026-04-14,944.4600219726562,944.4191233897157
2026-04-15,891.719970703125,944.4668534450302
2026-04-16,919.469970703125,956.257388695603
2026-04-17,920.989990234375,972.4162830249256
2026-04-20,913.02001953125,970.007305406537
2026-04-21,903.489990234375,977.3088612105445
2026-04-22,979.0700073242188,1011.0981786656131
2026-04-23,932.4299926757812,1010.6568084657919
2026-04-24,989.9000244140625,1034.0417247586543
2026-04-27,1070.199951171875,1078.464872303224
2026-04-28,1002.3499755859375,1083.5945192101938
2026-04-29,1064.2099609375,1104.4043418469507
2026-04-30,1096.510009765625,1132.4561534359993
2026-05-01,1187.0,1171.880590535227
2026-05-04,1255.8599853515625,1215.0517369288739
