ticker,mention_count,post_count,avg_sentiment,total_score,total_comments,engagement,latest_mention,rank_score,last_close,latest_rsi,latest_macd,return_5d,return_21d,rmse
SPY,24,13,-0.15525384615384616,11837,2256,132.26580270062604,2026-04-20 00:11:27+00:00,76,710.1400146484375,73.16696493936159,8.752305665489303,0.045153492013715546,0.0736435034879539,5.966433470187008
MSTR,7,4,0.34709999999999996,485,121,28.576202801451945,2026-04-20 01:15:48+00:00,23,166.52000427246094,71.95068414322017,3.238280420958091,0.2944652134836738,0.1846898631528897,10.401256907486363
RACE,6,3,0.5500333333333334,2023,617,33.99258035539549,2026-04-18 03:58:35+00:00,18,372.8500061035156,68.47014783969861,5.322271222409597,0.059564041554343694,0.12824160960531228,3.9636623665210045
AMD,6,3,0.14753333333333332,8858,596,32.837836783409024,2026-04-17 23:19:21+00:00,18,278.3900146484375,80.20162151154327,16.65039771035012,0.13610031944198564,0.39571846624771423,5.187205993361278
TSLA,4,3,0.46860000000000007,993,514,26.638275823275432,2026-04-18 10:58:22+00:00,16,400.6199951171875,60.31030610705403,-3.216011038319266,0.14807273564300827,0.019960273848607768,3.462210275354696
QQQ,3,3,0.41650000000000004,3117,582,31.83819959459535,2026-04-19 14:21:18+00:00,15,648.8499755859375,74.43709223533133,11.018980430958095,0.06182592470403092,0.0906874247063818,6.617009056562462
NFLX,5,2,0.12934999999999997,44,57,12.36819149500661,2026-04-17 21:02:22+00:00,13,97.30999755859375,48.56340963706599,3.2493637190905673,-0.05533447684137005,0.02756072539028742,3.479160558246595
BITF,8,1,0.9144,32,29,6.897704943128636,2026-04-17 18:40:53+00:00,12,2.890000104904175,69.11307983250026,0.14409489175230883,0.3504672725394953,0.24568973623402424,0.1824195695857475
MSFT,4,2,0.4753,43,118,13.0205166810463,2026-04-18 10:58:22+00:00,12,422.7900085449219,71.64960851169381,3.8199803686541145,0.13999518459650173,0.07912401879550646,10.50739880548577
KEEL,7,1,0.9144,32,29,6.897704943128636,2026-04-17 18:40:53+00:00,11,2.880000114440918,68.919039867802,0.1433170563751167,0.34579438002872376,0.24137939539307474,0.17940285524249638
